1,300
2,300
3,445
4,486
5,531
6,573
7,600
8,600
9,600
10,745
11,786
12,976
13,1059
14,1131
15,1173
16,1200
17,1345
18,1386
19,1721
20,1845
21,2107
22,2232
23,2331
24,2518
25,2586
26,3066
27,3231
28,3828
29,4077
30,4438
31,4750
32,4917
33,5584
34,5817
35,6894
36,7308
37,8266
38,8827
39,9355
40,10334
41,10734
42,12478
43,13125
44,15160
45,16135
46,17621
47,19161
48,20089
49,22812
50,23859
51,27638
52,29260
53,32781
54,35296
55,37710
56,41973
57,43948
58,50450
59,53119
60,60419
61,64556
62,70491
63,77269
64,81658
65,92423
66,97067
67,110869
68,117675
69,130910
70,141825
71,152149
72,169692
73,178725
74,203292
75,214742
76,241779
77,259500
78,283059
95,1255518
96,1338274
97,1502556
98,1592050
99,1787964
100,1912968
101,2108680
102,2300777
103,2477045
104,2758074
105,2930324
106,3290520
107,3505018
108,3896644
109,4213745
110,4585725
111,5058851
112,5407369
113,6048594
114,6435342
115,7187164
116,7718763
117,8482369
118,9272596
119,9993094
120,11107445
121,11842711
122,13235758
123,14154105
124,15669533
125,16991359
126,18475463
127,20380041
128,21835805
129,24343203
130,25996816
131,28905291
132,31145464
133,34144996
134,37371400
135,40311268
136,44723244
137,47832621
138,53248494
139,57142280
140,63050287
141,68516864
142,74456264
143,82094644
144,88143889
145,97971738
146,104974901
147,116298781
148,125659144
149,137506551
150,150611508
151,162600153
